tabla;id;maquina;n_bloque;material;operacion;fecha_hora;create_date
parte_discopuente_mapeada;69959;1;46451;;0;Fri Dec 18 2026 15:30:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;69958;1;46345;71;0;Thu Dec 17 2026 20:11:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;69957;1;46345;71;0;Thu Dec 17 2026 18:52:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;69956;1;46345;71;0;Thu Dec 17 2026 15:48:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;69955;1;46423;71;0;Thu Dec 17 2026 15:45:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;69954;1;46350;71;0;Thu Dec 17 2026 09:00:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;69953;1;46338;71;0;Thu Dec 17 2026 06:25:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;69952;1;46338;71;0;Wed Dec 16 2026 20:33:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;69951;1;46335;71;0;Wed Dec 16 2026 12:52:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
parte_trabajo_mapeada;52677;1;0;;0;Wed Dec 16 2026 12:50:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:00:05 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;69950;1;46338;71;0;Wed Dec 16 2026 12:41:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;69949;1;46341;71;0;Wed Dec 16 2026 08:24:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;69948;1;46234;71;0;Wed Dec 16 2026 05:21:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;69947;1;46358;71;0;Tue Dec 15 2026 11:20:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;69946;1;46358;71;0;Tue Dec 15 2026 11:18:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;69945;1;46358;71;0;Tue Dec 15 2026 11:15:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;69944;1;46344;71;0;Sat Dec 12 2026 17:26:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;69943;1;45406;73;0;Sat Dec 12 2026 11:43:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;69942;1;45408;73;0;Sat Dec 12 2026 10:45:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;69941;1;46146;71;0;Sat Dec 12 2026 06:44:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;69940;1;0;71;0;Sat Dec 12 2026 06:00:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
parte_trabajo_mapeada;52676;2;0;;0;Fri Dec 11 2026 20:59:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:00:05 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;69939;1;46396;90;0;Fri Dec 11 2026 16:07:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;69938;1;46396;90;0;Fri Dec 11 2026 14:13:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;69937;1;46396;90;0;Fri Dec 11 2026 11:07:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
